week_period,week_start,week_end,official_holiday_days
1991-03-18/1991-03-24,1991-03-18,1991-03-24,4
1991-03-25/1991-03-31,1991-03-25,1991-03-31,0
1991-04-01/1991-04-07,1991-04-01,1991-04-07,3
1991-04-08/1991-04-14,1991-04-08,1991-04-14,0
1991-04-15/1991-04-21,1991-04-15,1991-04-21,1
1991-04-22/1991-04-28,1991-04-22,1991-04-28,0
1991-04-29/1991-05-05,1991-04-29,1991-05-05,0
1991-05-06/1991-05-12,1991-05-06,1991-05-12,1
1991-05-13/1991-05-19,1991-05-13,1991-05-19,0
1991-05-20/1991-05-26,1991-05-20,1991-05-26,0
1991-05-27/1991-06-02,1991-05-27,1991-06-02,0
1991-06-03/1991-06-09,1991-06-03,1991-06-09,2
1991-06-10/1991-06-16,1991-06-10,1991-06-16,0
1991-06-17/1991-06-23,1991-06-17,1991-06-23,1
1991-06-24/1991-06-30,1991-06-24,1991-06-30,0
1991-07-01/1991-07-07,1991-07-01,1991-07-07,1
1991-07-08/1991-07-14,1991-07-08,1991-07-14,0
1991-07-15/1991-07-21,1991-07-15,1991-07-21,1
1991-07-22/1991-07-28,1991-07-22,1991-07-28,1
1991-07-29/1991-08-04,1991-07-29,1991-08-04,0
1991-08-05/1991-08-11,1991-08-05,1991-08-11,0
1991-08-12/1991-08-18,1991-08-12,1991-08-18,0
1991-08-19/1991-08-25,1991-08-19,1991-08-25,0
1991-08-26/1991-09-01,1991-08-26,1991-09-01,1
1991-09-02/1991-09-08,1991-09-02,1991-09-08,1
1991-09-09/1991-09-15,1991-09-09,1991-09-15,1
1991-09-16/1991-09-22,1991-09-16,1991-09-22,1
1991-09-23/1991-09-29,1991-09-23,1991-09-29,1
1991-09-30/1991-10-06,1991-09-30,1991-10-06,0
1991-10-07/1991-10-13,1991-10-07,1991-10-13,0
1991-10-14/1991-10-20,1991-10-14,1991-10-20,0
1991-10-21/1991-10-27,1991-10-21,1991-10-27,0
1991-10-28/1991-11-03,1991-10-28,1991-11-03,0
1991-11-04/1991-11-10,1991-11-04,1991-11-10,0
1991-11-11/1991-11-17,1991-11-11,1991-11-17,0
1991-11-18/1991-11-24,1991-11-18,1991-11-24,0
1991-11-25/1991-12-01,1991-11-25,1991-12-01,0
1991-12-02/1991-12-08,1991-12-02,1991-12-08,0
1991-12-09/1991-12-15,1991-12-09,1991-12-15,1
1991-12-16/1991-12-22,1991-12-16,1991-12-22,0
1991-12-23/1991-12-29,1991-12-23,1991-12-29,0
1991-12-30/1992-01-05,1991-12-30,1992-01-05,0
1992-01-06/1992-01-12,1992-01-06,1992-01-12,0
1992-01-13/1992-01-19,1992-01-13,1992-01-19,1
1992-01-20/1992-01-26,1992-01-20,1992-01-26,0
1992-01-27/1992-02-02,1992-01-27,1992-02-02,1
1992-02-03/1992-02-09,1992-02-03,1992-02-09,0
1992-02-10/1992-02-16,1992-02-10,1992-02-16,1
1992-02-17/1992-02-23,1992-02-17,1992-02-23,1
1992-02-24/1992-03-01,1992-02-24,1992-03-01,0
1992-03-02/1992-03-08,1992-03-02,1992-03-08,0
1992-03-09/1992-03-15,1992-03-09,1992-03-15,0
1992-03-16/1992-03-22,1992-03-16,1992-03-22,4
1992-03-23/1992-03-29,1992-03-23,1992-03-29,3
1992-03-30/1992-04-05,1992-03-30,1992-04-05,3
1992-04-06/1992-04-12,1992-04-06,1992-04-12,0
1992-04-13/1992-04-19,1992-04-13,1992-04-19,0
1992-04-20/1992-04-26,1992-04-20,1992-04-26,0
1992-04-27/1992-05-03,1992-04-27,1992-05-03,1
1992-05-04/1992-05-10,1992-05-04,1992-05-10,0
1992-05-11/1992-05-17,1992-05-11,1992-05-17,0
1992-05-18/1992-05-24,1992-05-18,1992-05-24,0
1992-05-25/1992-05-31,1992-05-25,1992-05-31,0
1992-06-01/1992-06-07,1992-06-01,1992-06-07,2
1992-06-08/1992-06-14,1992-06-08,1992-06-14,1
1992-06-15/1992-06-21,1992-06-15,1992-06-21,1
1992-06-22/1992-06-28,1992-06-22,1992-06-28,0
1992-06-29/1992-07-05,1992-06-29,1992-07-05,0
1992-07-06/1992-07-12,1992-07-06,1992-07-12,2
1992-07-13/1992-07-19,1992-07-13,1992-07-19,0
1992-07-20/1992-07-26,1992-07-20,1992-07-26,0
1992-07-27/1992-08-02,1992-07-27,1992-08-02,0
1992-08-03/1992-08-09,1992-08-03,1992-08-09,0
1992-08-10/1992-08-16,1992-08-10,1992-08-16,0
1992-08-17/1992-08-23,1992-08-17,1992-08-23,1
1992-08-24/1992-08-30,1992-08-24,1992-08-30,2
1992-08-31/1992-09-06,1992-08-31,1992-09-06,1
1992-09-07/1992-09-13,1992-09-07,1992-09-13,0
1992-09-14/1992-09-20,1992-09-14,1992-09-20,1
1992-09-21/1992-09-27,1992-09-21,1992-09-27,0
1992-09-28/1992-10-04,1992-09-28,1992-10-04,0
1992-10-05/1992-10-11,1992-10-05,1992-10-11,0
1992-10-12/1992-10-18,1992-10-12,1992-10-18,0
1992-10-19/1992-10-25,1992-10-19,1992-10-25,0
1992-10-26/1992-11-01,1992-10-26,1992-11-01,0
1992-11-02/1992-11-08,1992-11-02,1992-11-08,0
1992-11-09/1992-11-15,1992-11-09,1992-11-15,0
1992-11-16/1992-11-22,1992-11-16,1992-11-22,0
1992-11-23/1992-11-29,1992-11-23,1992-11-29,1
1992-11-30/1992-12-06,1992-11-30,1992-12-06,0
1992-12-07/1992-12-13,1992-12-07,1992-12-13,0
1992-12-14/1992-12-20,1992-12-14,1992-12-20,0
1992-12-21/1992-12-27,1992-12-21,1992-12-27,0
1992-12-28/1993-01-03,1992-12-28,1993-01-03,0
1993-01-04/1993-01-10,1993-01-04,1993-01-10,1
1993-01-11/1993-01-17,1993-01-11,1993-01-17,0
1993-01-18/1993-01-24,1993-01-18,1993-01-24,1
1993-01-25/1993-01-31,1993-01-25,1993-01-31,0
1993-02-01/1993-02-07,1993-02-01,1993-02-07,1
1993-02-08/1993-02-14,1993-02-08,1993-02-14,1
1993-02-15/1993-02-21,1993-02-15,1993-02-21,0
1993-02-22/1993-02-28,1993-02-22,1993-02-28,0
1993-03-01/1993-03-07,1993-03-01,1993-03-07,0
1993-03-08/1993-03-14,1993-03-08,1993-03-14,0
1993-03-15/1993-03-21,1993-03-15,1993-03-21,3
1993-03-22/1993-03-28,1993-03-22,1993-03-28,3
1993-03-29/1993-04-04,1993-03-29,1993-04-04,2
1993-04-05/1993-04-11,1993-04-05,1993-04-11,0
1993-04-12/1993-04-18,1993-04-12,1993-04-18,1
1993-04-19/1993-04-25,1993-04-19,1993-04-25,0
1993-04-26/1993-05-02,1993-04-26,1993-05-02,0
1993-05-03/1993-05-09,1993-05-03,1993-05-09,0
1993-05-10/1993-05-16,1993-05-10,1993-05-16,0
1993-05-17/1993-05-23,1993-05-17,1993-05-23,0
1993-05-24/1993-05-30,1993-05-24,1993-05-30,0
1993-05-31/1993-06-06,1993-05-31,1993-06-06,3
1993-06-07/1993-06-13,1993-06-07,1993-06-13,1
1993-06-14/1993-06-20,1993-06-14,1993-06-20,0
1993-06-21/1993-06-27,1993-06-21,1993-06-27,0
1993-06-28/1993-07-04,1993-06-28,1993-07-04,2
1993-07-05/1993-07-11,1993-07-05,1993-07-11,0
1993-07-12/1993-07-18,1993-07-12,1993-07-18,0
1993-07-19/1993-07-25,1993-07-19,1993-07-25,0
1993-07-26/1993-08-01,1993-07-26,1993-08-01,0
1993-08-02/1993-08-08,1993-08-02,1993-08-08,0
1993-08-09/1993-08-15,1993-08-09,1993-08-15,1
1993-08-16/1993-08-22,1993-08-16,1993-08-22,2
1993-08-23/1993-08-29,1993-08-23,1993-08-29,1
1993-08-30/1993-09-05,1993-08-30,1993-09-05,1
1993-09-06/1993-09-12,1993-09-06,1993-09-12,0
1993-09-13/1993-09-19,1993-09-13,1993-09-19,0
1993-09-20/1993-09-26,1993-09-20,1993-09-26,0
1993-09-27/1993-10-03,1993-09-27,1993-10-03,0
1993-10-04/1993-10-10,1993-10-04,1993-10-10,0
1993-10-11/1993-10-17,1993-10-11,1993-10-17,0
1993-10-18/1993-10-24,1993-10-18,1993-10-24,0
1993-10-25/1993-10-31,1993-10-25,1993-10-31,0
1993-11-01/1993-11-07,1993-11-01,1993-11-07,0
1993-11-08/1993-11-14,1993-11-08,1993-11-14,0
1993-11-15/1993-11-21,1993-11-15,1993-11-21,1
1993-11-22/1993-11-28,1993-11-22,1993-11-28,0
1993-11-29/1993-12-05,1993-11-29,1993-12-05,0
1993-12-06/1993-12-12,1993-12-06,1993-12-12,0
1993-12-13/1993-12-19,1993-12-13,1993-12-19,0
1993-12-20/1993-12-26,1993-12-20,1993-12-26,0
1993-12-27/1994-01-02,1993-12-27,1994-01-02,1
1994-01-03/1994-01-09,1994-01-03,1994-01-09,0
1994-01-10/1994-01-16,1994-01-10,1994-01-16,1
1994-01-17/1994-01-23,1994-01-17,1994-01-23,0
1994-01-24/1994-01-30,1994-01-24,1994-01-30,1
1994-01-31/1994-02-06,1994-01-31,1994-02-06,0
1994-02-07/1994-02-13,1994-02-07,1994-02-13,1
1994-02-14/1994-02-20,1994-02-14,1994-02-20,0
1994-02-21/1994-02-27,1994-02-21,1994-02-27,0
1994-02-28/1994-03-06,1994-02-28,1994-03-06,1
1994-03-07/1994-03-13,1994-03-07,1994-03-13,1
1994-03-14/1994-03-20,1994-03-14,1994-03-20,1
1994-03-21/1994-03-27,1994-03-21,1994-03-27,4
1994-03-28/1994-04-03,1994-03-28,1994-04-03,2
1994-04-04/1994-04-10,1994-04-04,1994-04-10,1
1994-04-11/1994-04-17,1994-04-11,1994-04-17,0
1994-04-18/1994-04-24,1994-04-18,1994-04-24,0
1994-04-25/1994-05-01,1994-04-25,1994-05-01,0
1994-05-02/1994-05-08,1994-05-02,1994-05-08,0
1994-05-09/1994-05-15,1994-05-09,1994-05-15,0
1994-05-16/1994-05-22,1994-05-16,1994-05-22,1
1994-05-23/1994-05-29,1994-05-23,1994-05-29,1
1994-05-30/1994-06-05,1994-05-30,1994-06-05,2
1994-06-06/1994-06-12,1994-06-06,1994-06-12,0
1994-06-13/1994-06-19,1994-06-13,1994-06-19,1
1994-06-20/1994-06-26,1994-06-20,1994-06-26,1
1994-06-27/1994-07-03,1994-06-27,1994-07-03,0
1994-07-04/1994-07-10,1994-07-04,1994-07-10,0
1994-07-11/1994-07-17,1994-07-11,1994-07-17,0
1994-07-18/1994-07-24,1994-07-18,1994-07-24,0
1994-07-25/1994-07-31,1994-07-25,1994-07-31,1
1994-08-01/1994-08-07,1994-08-01,1994-08-07,1
1994-08-08/1994-08-14,1994-08-08,1994-08-14,1
1994-08-15/1994-08-21,1994-08-15,1994-08-21,1
1994-08-22/1994-08-28,1994-08-22,1994-08-28,1
1994-08-29/1994-09-04,1994-08-29,1994-09-04,0
1994-09-05/1994-09-11,1994-09-05,1994-09-11,0
1994-09-12/1994-09-18,1994-09-12,1994-09-18,0
1994-09-19/1994-09-25,1994-09-19,1994-09-25,0
1994-09-26/1994-10-02,1994-09-26,1994-10-02,0
1994-10-03/1994-10-09,1994-10-03,1994-10-09,0
1994-10-10/1994-10-16,1994-10-10,1994-10-16,0
1994-10-17/1994-10-23,1994-10-17,1994-10-23,0
1994-10-24/1994-10-30,1994-10-24,1994-10-30,0
1994-10-31/1994-11-06,1994-10-31,1994-11-06,0
1994-11-07/1994-11-13,1994-11-07,1994-11-13,1
1994-11-14/1994-11-20,1994-11-14,1994-11-20,0
1994-11-21/1994-11-27,1994-11-21,1994-11-27,0
1994-11-28/1994-12-04,1994-11-28,1994-12-04,0
1994-12-05/1994-12-11,1994-12-05,1994-12-11,0
1994-12-12/1994-12-18,1994-12-12,1994-12-18,1
1994-12-19/1994-12-25,1994-12-19,1994-12-25,0
1994-12-26/1995-01-01,1994-12-26,1995-01-01,1
1995-01-02/1995-01-08,1995-01-02,1995-01-08,0
1995-01-09/1995-01-15,1995-01-09,1995-01-15,0
1995-01-16/1995-01-22,1995-01-16,1995-01-22,1
1995-01-23/1995-01-29,1995-01-23,1995-01-29,0
1995-01-30/1995-02-05,1995-01-30,1995-02-05,0
1995-02-06/1995-02-12,1995-02-06,1995-02-12,1
1995-02-13/1995-02-19,1995-02-13,1995-02-19,0
1995-02-20/1995-02-26,1995-02-20,1995-02-26,1
1995-02-27/1995-03-05,1995-02-27,1995-03-05,1
1995-03-06/1995-03-12,1995-03-06,1995-03-12,0
